complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
17-0505,2017-10-04 04:00:00+00,9000,VERBAL ABUSE,"According to the complainant, on 9-14-17 at 11:00am, they were treated unprofessionally by an unknown officer in the confines of the 9th District.",2017-09-14,11:00 AM,3761
17-0506,2017-10-05 04:00:00+00,1200,PHYSICAL ABUSE,"According to the complainant, on 9-30-17 at 12:00pm, they witnessed a juvenile physically abused by officers assigned to the 12th District.",2017-09-30,12:00 PM,3762
17-0507,2017-10-06 04:00:00+00,3900,PHYSICAL ABUSE,"According to the complainant, on 10-3-17 at 6:30pm, they were physically abused by officers assigned to the 39th District.",2017-10-03,06:30 PM,3763
17-0508,2017-10-06 04:00:00+00,1000,LACK OF SERVICE,"According to the complainant, on 3-8-17, departmental policies were violated by officers assigned to the 1st District and a detective assigned to South Detective Division.",2017-03-08,,3764
17-0509,2017-10-10 04:00:00+00,5000,DEPARTMENTAL VIOLATIONS,"According to the complainant, departmental policies were violated by an on duty officer assigned to Neighborhood Services. This incident occurred in the confines of the 5th District.",,,3765
17-0510,2017-10-12 04:00:00+00,1200,VERBAL ABUSE,"According to the complainant, on 10-6-17 at 1:38pm, they were verbally abused by officers assigned to the 12th District.",2017-10-06,01:38 PM,3766
17-0511,2017-10-11 04:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 10-7-17 at 7:00pm, they were harassed by an officer assigned to the 19th District.",2017-10-07,07:00 PM,3767
17-0512,2017-10-11 04:00:00+00,3900,PHYSICAL ABUSE,"According to the complainant, on 10-10-17, they were physically abused by a detective assigned to Northwest Detective Division.",2017-10-10,,3768
17-0525,2017-10-20 04:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 10-16-17 at 7:15pm, they were verbally abused and did not receive proper service from a sergeant and officers assigned to the 15th District.",2017-10-16,07:15 PM,3781
17-0526,2017-10-24 04:00:00+00,2200,PHYSICAL ABUSE,"According to the complainant, on 2-24-17 at 10:15pm, their client was physically abused by an officer assigned to the 22nd District.",2017-02-24,10:15 PM,3782
17-0527,2017-10-18 04:00:00+00,1400,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 10-15-17 at 10:27pm, they were verbally abused by an officer assigned to the 14th District.",2017-10-15,10:27 PM,3783
17-0528,2017-10-23 04:00:00+00,1500,VERBAL ABUSE,"According to the complainant, on 10-05-16 at 7:30am, they were verbally abused and falsely arrested by a sergeant assigned to the 15th District.",2016-10-05,07:30 AM,3784
17-0529,2017-10-23 04:00:00+00,2000,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 2nd District.",,,3785
17-0530,2017-10-23 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-18-17 at 12:00am, proper police procedures were not followed by an officer assigned to Neighborhood Services. This incident occurred in the confines of the 24th District.",2017-10-18,12:00 AM,3786
17-0531,2017-10-23 04:00:00+00,1600,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-4-17 at 1:15am, they were treated unprofessionally by unknown officers. This incident occurred in the confines of the 16th District.",2017-08-04,01:15 AM,3787
17-0532,2017-10-24 04:00:00+00,7000,HARASSMENT,"According to the complainant, on 10-19-17 at 9:53am, they were treated unprofessionally by an off-duty officer assigned to the Safety Office. This incident occurred in the confines of the 7th District.",2017-10-19,09:53 AM,3788
17-0533,2017-10-23 04:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 3-22-17 at 6:49pm, they did not receive proper service from officers assigned to the 15th District.",2017-03-22,06:49 PM,3789
17-0534,2017-10-24 04:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 6-2-17 at 5:30pm, they did not receive proper service from officers assigned to the 3rd District.",2017-06-02,05:30 PM,3790
17-0535,2017-10-25 04:00:00+00,3500,HARASSMENT,"According to the complainant, on 12-23-16, their juvenile family member was harassed by officers assigned to the 35th District.",2016-12-23,,3791
17-0536,2017-10-23 04:00:00+00,1400,PHYSICAL ABUSE,"According to the complainant, on 8-9-17 at 11:40pm, they were falsely arrested and physically abused by officers assigned to the 14th District.",2017-08-09,11:40 PM,3792
17-0537,2017-10-25 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-18-17 at 10:30pm, they were treated unprofessionally and their property was damaged by a sergeant and detective assigned to Central Detective Division.",2017-10-18,10:30 PM,3793
17-0538,2017-10-26 04:00:00+00,2200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-20-17 at 8:30pm, they were treated unprofessionally by an officer assigned to the 22nd District.",2017-10-20,08:30 PM,3794
17-0539,2017-10-25 04:00:00+00,1000,PHYSICAL ABUSE,"According to the complainants, on 10-12-17 at 9:30am, their property was damaged and they were physically abused by detectives assigned to South Detective Division.",2017-10-12,09:30 AM,3795
17-0540,2017-10-26 04:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 10-23-17 at 4:10pm, they did not receive proper service from an officer assigned to the 18th District.",2017-10-23,04:10 PM,3796
17-0541,2017-10-26 04:00:00+00,8000,LACK OF SERVICE,"According to the complainant, on 10-18-17 at 8:30pm, they did not receive proper service from officers assigned to the 8th District.",2017-10-18,08:30 PM,3797
17-0542,2017-10-26 04:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 10-23-17 at 7:30am, they were treated unprofessionally by two unknown dispatchers assigned to Police Radio.",2017-10-23,07:30 AM,3798
17-0543,2017-10-25 04:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-22-17 at 4:00am, they were falsely arrested and treated unprofessionally by an officer assigned to the 25th District.",2017-10-22,04:00 AM,3799
17-0544,2017-10-26 04:00:00+00,9000,LACK OF SERVICE,"According to the complainant, on the morning of 10-23-17, they did not receive proper service from unknown 911 Dispatchers assigned to Police Radio.",2017-10-23,,3800
17-0545,2017-10-27 04:00:00+00,1800,PHYSICAL ABUSE,"According to the complainant, on 8-26-17 at 2:00am, they were physically abused and falsely detained by officers assigned to the 18th District.",2017-08-26,02:00 AM,3801
17-0546,2017-10-26 04:00:00+00,2300,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were falsely detained by officers assigned to the 22nd District.",,,3802
17-0547,2017-10-30 04:00:00+00,3000,CIVIL RIGHTS COMPLAINT,"According to the complainant, they have called 911 on numerous occasions and have not received proper police service from officers assigned to the 3rd District.",,,3803
17-0548,2017-10-30 04:00:00+00,1400,VERBAL ABUSE,"According to the complainant, on 10-25-17 at 1:30pm, they were treated unprofessionally by an officer assigned to the 14th District.",2017-10-25,01:30 PM,3804
17-0549,2017-10-30 04:00:00+00,1600,VERBAL ABUSE,"According to the complainant, on 10-24-17 at 1:15pm, they were treated unprofessionally by officers assigned to the 16th District.",2017-10-24,01:15 PM,3805
17-0550,2017-11-01 04:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-25-17 at 4:00am, proper police procedures were not followed by unknown supervisors and officers in the 35th District.",2017-10-25,04:00 AM,3806
17-0551,2017-11-01 04:00:00+00,6000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-14-17 at 12:00pm, unknown police personnel improperly used the police system for personal use.",2017-10-14,12:00 PM,3807
17-0552,2017-11-01 04:00:00+00,3500,CRIMINAL ALLEGATION,"According to the complainant, on 10-29-17 at 2:00am, they were verbally and physically abused by officers assigned to the 35th District.",2017-10-29,02:00 AM,3808
17-0553,2017-11-01 04:00:00+00,6000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-25-17 at 1:00pm, officers were rude and dismissive to them. The officers are assigned to the 6th District.",2017-10-25,01:00 PM,3809
17-0554,2017-11-03 04:00:00+00,5000,VERBAL ABUSE,"According to the complainant, on 9-13-17 at 1:50am, they were verbally abused by an officer assigned to the 5th District.",2017-09-13,01:50 AM,3810
17-0555,2017-11-01 04:00:00+00,9000,LACK OF SERVICE,"According to the complainant, on 10-7-15, they did not receive proper service from officers assigned to the 9th District.",2015-10-07,,3811
17-0556,2017-11-02 04:00:00+00,7000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-20-17, they are missing an unknown amount of United States currency after being falsely arrested by officers assigned to the 7th District.",2017-09-20,,3812
17-0557,2017-11-03 04:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-21-17 at 10:00pm, they were improperly stopped by officers assigned to the 35th District.",2017-10-21,10:00 PM,3813
17-0558,2017-11-07 05:00:00+00,7700,VERBAL ABUSE,"According to the complainant, on 10-27-17 at 6:07pm, they were verbally abused by an unknown officer at the Airport.",2017-10-27,06:07 PM,3814
17-0559,2017-11-03 04:00:00+00,1600,LACK OF SERVICE,"According to the complainant, on 10-9-17 at 4:20pm, they did not receive proper service from a detective assigned to Southwest Detective Division.",2017-10-09,04:20 PM,3815
17-0560,2017-11-07 05:00:00+00,8000,LACK OF SERVICE,"According to the complainant, on 10-25-16, they did not receive proper service from unknown 8th District officers.",2016-10-25,,3816
17-0561,2017-11-09 05:00:00+00,3500,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-3-17 at 11:45am, they were verbally abused by an officer assigned to the 35th District.",2017-11-03,11:45 AM,3817
17-0562,2017-11-09 05:00:00+00,2400,VERBAL ABUSE,"According to the complainant, on 11-5-17 at 6:00pm, they were harassed by an officer assigned to the 24th District.",2017-11-05,06:00 PM,3818
17-0564,2017-11-09 05:00:00+00,1400,VERBAL ABUSE,"According to the complainant, on 8-15-17 at 1:45pm, they witnessed a person verbally abused by an unknown officer in the 14th District.",2017-08-15,01:45 PM,3819
17-0565,2017-11-09 05:00:00+00,,VERBAL ABUSE,"According to the complainant, on 10-27-17 at 11:00pm, they were verbally harassed by their sibling, an officer assigned to Highway Patrol.",2017-10-27,11:00 PM,3820
17-0566,2017-11-07 05:00:00+00,,HARASSMENT,"According to the complainant, on 11-3-17 at 4:00pm, they witnessed an officer verbally abuse another person on social media. The officer is assigned to the 9th District.",2017-11-03,04:00 PM,3821
17-0567,2017-11-09 05:00:00+00,2500,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-27-17 at 6:00pm, they were treated unprofessionally by an officer assigned to the 25th District.",2017-10-27,06:00 PM,3822
17-0568,2017-11-09 05:00:00+00,6000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-17-17 at 8:00am, they did not receive proper service from an officer assigned to Traffic District. This incident occurred in the confines of the 6th District.",2017-10-17,08:00 AM,3823
17-0569,2017-11-13 05:00:00+00,,LACK OF SERVICE,"According to the complainant, on 10-23-17 at 11:16am, they did not receive proper service from an officer assigned to the 15th District.",2017-10-23,11:16 AM,3824
17-0570,2017-11-14 05:00:00+00,2200,LACK OF SERVICE,"According to the complainant, on 10-25-17 at 4:30pm, they were falsely arrested by a sergeant assigned to the 22nd District.",2017-10-25,04:30 PM,3825
17-0571,2017-11-21 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-15-17, proper police procedures were not followed by an officer assigned to the 19th District.",2017-11-15,,3826
17-0572,2017-11-13 05:00:00+00,1200,VERBAL ABUSE,"According to the complainant, on 11-08-17 at 1: 30pm, they were verbally abused by an officer assigned to Traffic District. This incident occurred in the confines of the 12th District.",2017-11-08,,3827
17-0573,2017-11-14 05:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 11-08-17 at 11:00am, they were not given proper service from a sergeant and officer assigned to the 3rd District.",2017-11-08,11:00 AM,3828
17-0574,2017-11-14 05:00:00+00,6000,PHYSICAL ABUSE,"According to the complainant, on 11-7-17 at 3:24am, they were physically abused during their arrest processing by officers assigned to the Detention Unit.",2017-11-07,03:24 AM,3829
17-0575,2017-11-14 05:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 6-5-17 at 9:30pm, they did not receive proper service from unknown police dispatchers and an unknown detective. The incident occurred in the confines of the 24th District.",2017-06-05,09:30 PM,3830
17-0576,2017-11-14 05:00:00+00,2400,LACK OF SERVICE,"According to the complainant, on 11-6-17 at 10:00pm, they did not receive proper service from officers assigned to the 25th District.",2017-11-06,10:00 PM,3831
17-0577,2017-11-15 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-11-17 at 11:15am, proper police procedures were not followed by officers assigned to the 14th District.",2017-11-11,11:15 AM,3832
17-0578,2017-11-21 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 11-11-17 at 3:00am, they did not receive proper service from an officer assigned to Traffic District. This incident occurred in the confines of the 39th District.",2017-11-11,03:00 AM,3833
17-0579,2017-11-27 05:00:00+00,,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 11-12-17 at 8:08pm, they were harassed and threatened via text messages by an unknown officer. This incident occurred in the confines of the 19th District.",2017-11-12,08:08 PM,3834
17-0580,2017-11-13 05:00:00+00,,DEPARTMENTAL VIOLATIONS,"According to the complainant, numerous officers violated the departments social media policy. The officers are assigned to the 1st, 12th, 18th and Major Crimes.",,,3835
17-0581,2017-11-16 05:00:00+00,7000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-11-17 at 11:35pm, proper police procedures were not followed by an off duty officer, assigned to 35th District. This incident occurred in the confines of the 7th District.",2017-11-11,11:35 PM,3836
17-0582,2017-11-20 05:00:00+00,2600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-17 at 4:45pm, they were verbally abused by an officer assigned to the 26th District.",2017-11-10,04:45 PM,3837
17-0583,2017-11-21 05:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-14-17 at 3:30am, they are missing property after being in police custody. This incident occurred in the 15th District.",2017-10-14,03:30 AM,3838
17-0584,2017-11-21 05:00:00+00,3500,PHYSICAL ABUSE,"According to the complainant, on 8-22-17 at 9:00pm, they were physically abused by officers assigned to the 35th District.",2017-08-22,09:00 PM,3839
17-0585,2017-11-20 05:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 11-7-17 at 7:30pm, they were physically abused by officers assigned to the 24th District.",2017-11-07,07:30 PM,3840
17-0586,2017-11-27 05:00:00+00,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-21-16 at 1:15pm, they were falsely arrested by officers assigned to the 1st and 18th District.",2016-01-21,01:15 PM,3841
17-0587,2017-11-21 05:00:00+00,1200,PHYSICAL ABUSE,"According to the complainant, on 11-11-17 at 12:31pm, their juvenile family member was physically and verbally abused by officers assigned to the 12th District.",2017-11-11,12:31 PM,3842
17-0588,2017-11-27 05:00:00+00,3000,VERBAL ABUSE,"According to the complainant, on 11-21-17 at 8:40am, they were treated unprofessionally by an off duty officer, assigned to the 16th District, and a sergeant assigned to the 14th District.",2017-11-21,08:40 AM,3843
17-0589,2017-11-21 05:00:00+00,3500,CIVIL RIGHTS COMPLAINT,"According to the complainants, on 6-23-17 at 1:30am, they did not receive proper service from a detective assigned to Northwest Detective Division and an officer assigned to the 35th District.",2017-06-23,01:30 AM,3844
17-0590,2017-11-20 05:00:00+00,9000,LACK OF SERVICE,"According to the complainant, on 11-12-17 at 10:30am, they did not receive proper service from an officer assigned to the 9th District.",2017-11-12,10:30 AM,3845
17-0591,2017-11-21 05:00:00+00,2000,VERBAL ABUSE,"According to the complainant, on 10-28-17 at 7:05pm, they were verbally abused by an officer assigned to Highway Patrol. The incident occurred in the confines of the 2nd District.",2017-10-28,07:05 PM,3846
17-0592,2017-11-27 05:00:00+00,1400,VERBAL ABUSE,"According to the complainant, on 11-14-17 at 9:00am, they were physically abused by an officer assigned to the 14th District.",2017-11-14,09:00 AM,3847
17-0593,2017-11-28 05:00:00+00,1900,PHYSICAL ABUSE,"According to the complainant, on 11-21-17 at 7:10pm, they were physically abused by an officer assigned to the 19th District.",2017-11-21,07:10 PM,3848
17-0594,2017-11-28 05:00:00+00,1400,LACK OF SERVICE,"According to the complainant, on 11-14-16 at 3:19pm, they did not receive proper service from a detective assigned to Northwest Detective Division.",2016-11-14,03:19 PM,3849
17-0595,2017-11-28 05:00:00+00,1200,HARASSMENT,"According to the complainant, on 11-20-17, they were improperly issued a parking citation by an officer assigned to the 12th District.",2017-11-20,,3850
17-0596,2017-11-28 05:00:00+00,6000,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 11-22-17 at 10:30am, proper police procedures were not followed and they were falsely detained by officers assigned to the 6th District.",2017-11-22,10:30 AM,3851
17-0597,2017-11-28 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-5-16 at 7:00pm, they were physically abused and improperly searched by officers assigned to the 25th District.",2016-04-05,07:00 PM,3852
17-0598,2017-11-30 05:00:00+00,2200,VERBAL ABUSE,"According to the complainant, on 11-24-17 at 11:30pm, they were verbally abused by officers assigned to the 22nd District.",2017-11-24,11:30 PM,3853
17-0599,2017-11-30 05:00:00+00,1400,PHYSICAL ABUSE,"According to the complainant, on 11-16-17 at 1:15pm, they were physically and verbally abused by officers assigned to Highway Patrol. This incident occurred in the confines of the 14th District.",2017-11-16,01:15 PM,3854
17-0600,2017-11-30 05:00:00+00,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-21-17 at 7:00pm, they did not receive proper service from a detective assigned to Northeast Detective Division.",2017-11-21,07:00 PM,3855
17-0601,2017-11-30 05:00:00+00,3000,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-26-17 at 1:30am, their family member did not receive proper service from a detective assigned to Homicide.",2017-10-26,01:30 AM,3856
17-0602,2017-12-04 05:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-24-17 at 9:05pm, proper police procedures were not followed by an officer assigned to Highway Patrol. This incident occurred in the confines of the 22nd District.",2017-11-24,09:05 PM,3857
17-0603,2017-12-04 05:00:00+00,3000,VERBAL ABUSE,"According to the complainant, on 11-28-17 at 7:25pm, they were verbally abused by unknown officers in the 3rd District.",2017-11-28,07:25 PM,3858
17-0604,2017-12-04 05:00:00+00,1800,VERBAL ABUSE,"According to the complainant, on 11-30-17 at 5:20pm, they were verbally abused by unknown off duty officer. This incident occurred in the confines of the 15th District.",2017-11-30,05:20 PM,3859
17-0605,2017-12-05 05:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 11-23-17 at 12:00pm, they did not receive proper service from officers assigned to the 15th District.",2017-11-23,12:00 PM,3860
17-0606,2017-12-05 05:00:00+00,3500,HARASSMENT,"According to the complainant, on 12-2-17 at 5:11pm, they were threatened and harassed by an officer assigned to the 3rd District.",2017-12-02,05:11 PM,3861
17-0607,2017-12-07 05:00:00+00,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-25-17 at 2:00pm, they did not receive proper service from officers assigned to the 16th District.",2017-10-25,02:00 PM,3862
17-0608,2017-12-06 05:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 12-1-17 at 10:00pm, they did not receive proper service from officers assigned to the 3rd District.",2017-12-01,10:00 PM,3863
17-0609,2017-12-05 05:00:00+00,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-4-17 at 11:00pm, they were improperly issued a ticket by an officer assigned to the 18th District.",2017-12-04,11:00 PM,3864
17-0610,2017-12-06 05:00:00+00,3900,NON-INVESTIGATORY INCIDENT,"According to the complainant, while at their residence, proper police procedures were not followed by unknown officers. This incident occurred in the confines of the 39th District.",,,3865
17-0611,2017-12-07 05:00:00+00,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-5-17 at 6:55pm, they were improperly ticketed by officers assigned to the 16th and 18th District.",2017-12-05,06:55 PM,3866
17-0612,2017-12-07 05:00:00+00,3900,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 11-17-17 at 12:54pm, they were treated unprofessionally by an officer assigned to the 39th District.",2017-11-17,12:54 PM,3867
17-0613,2017-12-11 05:00:00+00,3500,VERBAL ABUSE,"According to the complainant, on 12-6-17 at 11:20am, they were verbally abused by an officer assigned to the 35th District.",2017-12-06,11:20 AM,3868
17-0614,2017-12-07 05:00:00+00,,NON-INVESTIGATORY INCIDENT,"According to the complainant, they are being followed and harassed by unknown officers. This incident occurred in the confines of the 8th District.",,,3869
17-0615,2017-12-11 05:00:00+00,8000,LACK OF SERVICE,"According to the complainant, on 11-8-17 at 10:00am, they did not receive proper service from an officer assigned to the 8th District.",2017-11-08,10:00 AM,3870
17-0616,2017-12-12 05:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-17 at 8:59am, they were improperly issued a ticket by an officer assigned to the 24th District.",2017-12-06,08:59 AM,3871
17-0617,2017-12-13 05:00:00+00,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-7-17 at 1:20am, they were improperly stopped and searched by officers assigned to the 24th District.",2017-12-07,01:20 AM,3872
17-0618,2017-12-19 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-1-17 at 8:10pm, proper police procedures were not followed by officers assigned to the 18th District.",2017-12-01,08:10 PM,3873
17-0619,2017-12-14 05:00:00+00,2600,PHYSICAL ABUSE,"According to the complainant, on 12-12-17 at 10:00am, they were physically and verbally abused by an officer assigned to the 26th District.",2017-12-12,10:00 AM,3874
17-0620,2017-12-19 05:00:00+00,1600,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 12-6-17 at 12:15pm, they were racially profiled by an officer assigned to the 16th District.",2017-12-06,12:15 PM,3875
17-0621,2017-12-18 05:00:00+00,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-11-17 at 8:50pm, they were falsely detained by officers assigned to the 25th District.",2017-12-11,08:50 PM,3876
17-0622,2017-12-18 05:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-13-17 at 5:35pm, proper police procedures were not followed by officers assigned to the 12th District.",2017-12-13,05:35 PM,3877
17-0623,2017-12-18 05:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-26-17 at 9:05pm, they were improperly searched by officers assigned to Highway Patrol. This incident occurred in the confines of the 22nd District.",2017-09-26,09:05 PM,3878
17-0624,2017-12-26 05:00:00+00,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-14-17 at 4:29pm, they were improperly ticketed by an officer assigned to the 19th District.",2017-12-14,04:29 PM,3879
17-0625,2017-12-18 05:00:00+00,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-14-17 at 10:45pm, they did not receive proper service from a sergeant assigned to the 12th District.",2017-12-14,10:45 PM,3880
17-0626,2017-12-21 05:00:00+00,9000,PHYSICAL ABUSE,"According to the complainant, on 10-21-17 at 2:30pm, they were physically abused by an unknown officer in the confines of the 9th District.",2017-10-21,02:30 PM,3881
17-0627,2017-12-20 05:00:00+00,3000,LACK OF SERVICE,"According to the complainant, on 12-8-17 at 8:45am, they did not receive proper service from officers assigned to the 3rd District.",2017-12-08,08:45 AM,3882
17-0628,2017-12-20 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-30-17 at 3:43pm, they were falsely arrested by officers assigned to the 17th District.",2017-09-30,03:43 PM,3883
17-0629,2017-12-26 05:00:00+00,3500,LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 35th District.",,,3884
17-0630,2017-12-21 05:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-16-17 at 11:15am, they did not receive their property back after being stopped by officers assigned to Northwest Task Force. This incident occurred in the confines of the 35th District.",2017-12-16,11:15 AM,3885
17-0631,2017-12-20 05:00:00+00,2500,PHYSICAL ABUSE,"According to the complainant, on 12-19-17 at 7:53pm, they were assaulted by two unknown uniformed police officers. This incident occurred in the confines of the 25th District.",2017-12-19,07:53 PM,3886
17-0632,2017-12-21 05:00:00+00,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-17 at 10:04pm, they were physically abused and property was damaged by officers assigned to the 12th District.",2017-12-19,10:04 PM,3887
17-0633,2017-12-21 05:00:00+00,1900,LACK OF SERVICE,"According to the complainant, on 8-17-17, they did not receive proper service from unknown officers in the 19th District.",2017-08-17,,3888
17-0634,2017-12-22 05:00:00+00,2500,PHYSICAL ABUSE,"According to the complainant, on 11-26-17, their client was physically abused by officers assigned to the 25th District.",2017-11-26,,3889
17-0635,2017-12-26 05:00:00+00,7700,VERBAL ABUSE,"According to the complainant, on 12-19-17 at 5:45pm, they were verbally abused by an officer assigned to the Airport.",2017-12-19,05:45 PM,3890
17-0636,2017-12-27 05:00:00+00,1500,LACK OF SERVICE,"According to the complainant, on 7-9-17 at 3:00pm, they did not receive proper service from an officer assigned to the 2nd District.",2017-07-09,03:00 PM,3891
17-0637,2017-12-26 05:00:00+00,2400,PHYSICAL ABUSE,"According to the complainant, on 12-21-17 at 9:00pm, they were physically abused by unknown officers operating a marked police vehicle. This incident occurred in the confines of the 24th District.",2017-12-21,09:00 PM,3892
17-0638,2017-12-26 05:00:00+00,,NON-INVESTIGATORY INCIDENT,"According to the complainant, they were treated unprofessionally by an off duty sergeant assigned to the 16th District. This incident occurred in the confines of the 2nd District.",,,3893
17-0639,2017-12-27 05:00:00+00,3900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-23-17 at 8:00pm, they were treated unprofessionally by officers assigned to the 39th District.",2017-12-23,08:00 PM,3894
17-0640,2017-12-28 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-17 at 6:30pm, they were improperly stopped and searched by officer assigned to the 14th District.",2017-12-26,06:30 PM,3895
17-0641,2017-12-28 05:00:00+00,9000,HARASSMENT,"According to the complainant, on two separate occasions, 12-18-17 and 12-22-17, they were illegally evicted by a sergeant and officers assigned to the 9th District.",2017-12-18,,3896
17-0642,2017-12-28 05:00:00+00,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-15-17 at 9:57pm, they were falsely detained and physically abused by officers assigned to the 35th District.",2017-06-15,09:57 PM,3897
17-0643,2017-12-28 05:00:00+00,1500,PHYSICAL ABUSE,"According to the complainant, on 12-26-17 at 7:00pm, they were falsely detained, physically and verbally abused by officers assigned to the 15th District.",2017-12-26,07:00 PM,3898
17-0644,2017-12-29 05:00:00+00,3500,PHYSICAL ABUSE,"According to the complainant, on 12-23-17 at 4:22pm, they were falsely arrested and physically abused by officers assigned to the 35th District.",2017-12-23,04:22 PM,3899
17-0645,2017-12-29 05:00:00+00,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-17 at 4:45pm, proper police procedures were not followed by an officer assigned to Narcotics Field Unit. This incident occurred in the confines of the 18th District.",2017-11-02,04:45 PM,3900
17-0646,2017-12-31 05:00:00+00,6000,HARASSMENT,"According to the complainant, on 12-27-17 at 3:38pm, they were verbally abused and harassed by an officer assigned to Center City District.",2017-12-27,03:38 PM,3901
17-0647,2017-12-31 05:00:00+00,6000,LACK OF SERVICE,"According to the complainant, on 9-26-17 at 12:00am, proper police procedures and proper service was not given by an officer in the 6th District and a detective assigned to Homicide.",2017-09-26,12:00 AM,3902
17-0648,2017-12-31 05:00:00+00,8000,VERBAL ABUSE,"According to the complainant, on 12-28-17 at 11:49pm, they were verbally abused and did not receive proper service from an officer assigned to the 8th District.",2017-12-28,11:49 PM,3903
17-0649,2017-12-31 05:00:00+00,2200,VERBAL ABUSE,"According to the complainant, on 12-28-17 at 3:18pm, they were treated unprofessionally by officers assigned to the 22nd District.",2017-12-28,03:18 PM,3904
17-0650,2017-12-31 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-20-17 at 4:50pm, they were improperly ticketed by an officer assigned to the 19th District.",2017-11-20,04:50 PM,3905
17-0651,2017-12-31 05:00:00+00,2500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-31-17 at 6:30pm, they did not receive proper service from a sergeant and officers assigned to the 25th District.",2017-12-31,06:30 PM,3906
